order	special_ability	target_self	target_friends	target_enemies	phase
#special_ability_to_special_ability_phase_junctions_tables;2;db/special_ability_to_special_ability_phase_junctions_tables/jar_adjustable_missiles__accuracy					
0	jar_adjustable_missiles__ability__acc__jar_unit_set_lords_heroes__-100	true	false	false	jar_adjustable_missiles__ability_phase__acc__-100
0	jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-100	true	false	false	jar_adjustable_missiles__ability_phase__acc__-100
0	jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-100	true	false	false	jar_adjustable_missiles__ability_phase__acc__-100
0	jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-100	true	false	false	jar_adjustable_missiles__ability_phase__acc__-100
0	jar_adjustable_missiles__ability__acc__jar_unit_set_monsters__-100	true	false	false	jar_adjustable_missiles__ability_phase__acc__-100
0	jar_adjustable_missiles__ability__acc__jar_unit_set_lords_heroes__-99	true	false	false	jar_adjustable_missiles__ability_phase__acc__-99
0	jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-99	true	false	false	jar_adjustable_missiles__ability_phase__acc__-99
0	jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-99	true	false	false	jar_adjustable_missiles__ability_phase__acc__-99
0	jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-99	true	false	false	jar_adjustable_missiles__ability_phase__acc__-99
0	jar_adjustable_missiles__ability__acc__jar_unit_set_monsters__-99	true	false	false	jar_adjustable_missiles__ability_phase__acc__-99
0	jar_adjustable_missiles__ability__acc__jar_unit_set_lords_heroes__-98	true	false	false	jar_adjustable_missiles__ability_phase__acc__-98
0	jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-98	true	false	false	jar_adjustable_missiles__ability_phase__acc__-98
0	jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-98	true	false	false	jar_adjustable_missiles__ability_phase__acc__-98
0	jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-98	true	false	false	jar_adjustable_missiles__ability_phase__acc__-98
0	jar_adjustable_missiles__ability__acc__jar_unit_set_monsters__-98	true	false	false	jar_adjustable_missiles__ability_phase__acc__-98
0	jar_adjustable_missiles__ability__acc__jar_unit_set_lords_heroes__-97	true	false	false	jar_adjustable_missiles__ability_phase__acc__-97
0	jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-97	true	false	false	jar_adjustable_missiles__ability_phase__acc__-97
